Date,Avg(CNY/mt)
2024-06-07,89535.40
2024-06-08,89734.51
2024-06-06,90265.49
2024-06-04,91858.41
2024-06-03,92831.86
2024-05-31,93716.81
2024-05-30,93805.31
2024-05-29,93982.30
2024-05-28,94070.80
2024-05-27,94247.79
2024-05-24,94247.79
2024-05-23,94247.79
2024-05-22,94601.77
2024-05-21,94601.77
2024-05-20,94778.76
2024-05-17,94690.27
2024-05-16,94690.27
2024-05-15,95353.98
2024-05-14,96681.42
2024-05-13,97123.89
2024-05-10,98318.58
2024-05-09,98672.57
2024-05-08,98982.30
2024-05-07,98982.30
2024-05-06,98893.81
