Date,Mid
2023-04-03,29003
2023-04-04,28211
2023-04-06,27676
2023-04-07,26997
2023-04-10,26640
2023-04-11,25695
2023-04-12,25448
2023-04-13,25199
2023-04-14,24895
2023-04-17,24096
2023-04-18,23920
2023-04-19,23176
2023-04-20,22898
2023-04-21,22976
2023-04-24,22948
2023-04-25,22687
2023-04-26,22879
2023-04-27,22889
2023-04-28,22878
2023-05-04,23004
2023-05-05,23112
2023-05-08,24313
2023-05-09,24981
2023-05-10,26626
2023-05-11,28815
2023-05-12,30823
2023-05-15,32779
2023-05-16,33740
2023-05-17,34765
2023-05-18,36680
2023-05-19,36729
2023-05-22,36833
2023-05-23,36744
2023-05-24,36999
2023-05-25,37015
2023-05-26,36894
2023-05-29,36991
2023-05-30,37176
2023-05-31,37487
2023-06-01,37473
2023-06-02,37487
2023-06-05,37818
2023-06-06,38162
2023-06-07,38533
2023-06-08,38673
2023-06-09,38950
2023-06-12,38897
2023-06-13,38741
2023-06-14,38704
2023-06-15,38746
2023-06-16,38979
2023-06-19,39027
2023-06-20,38750
2023-06-21,38581
2023-06-26,38257
2023-06-27,38050
2023-06-28,37742
2023-06-29,37625
2023-06-30,37599
2023-07-03,37651
2023-07-04,37771
2023-07-05,37812
2023-07-06,37744
2023-07-07,37767
2023-07-10,37834
2023-07-11,37855
2023-07-12,37734
2023-07-13,37674
2023-07-14,37660
2023-07-17,37284
2023-07-18,37032
2023-07-19,36643
2023-07-20,36344
2023-07-21,35668
2023-07-24,35361
2023-07-25,35197
2023-07-26,35004
2023-07-27,34832
2023-07-28,34548
2023-07-31,34440
2023-08-01,34016
2023-08-02,33356
2023-08-03,32925
2023-08-04,32527
2023-08-07,31800
2023-08-08,31285
2023-08-09,30781
2023-08-10,30539
2023-08-11,30163
2023-08-14,29566
2023-08-15,28854
2023-08-16,28275
2023-08-17,27810
2023-08-18,27653
2023-08-21,27660
2023-08-22,27658
2023-08-23,27659
2023-08-24,27699
2023-08-25,27454
2023-08-28,27095
2023-08-29,26419
2023-08-30,25939
2023-08-31,25633
2023-09-01,25333
2023-09-04,25333
2023-09-05,25026
2023-09-06,24654
2023-09-07,24464
2023-09-08,24224
2023-09-11,23796
2023-09-12,23480
2023-09-13,23264
2023-09-14,23209
2023-09-15,22868
2023-09-18,22575
2023-09-19,22206
2023-09-20,21775
2023-09-21,21405
2023-09-22,21220
2023-09-25,21098
2023-09-26,20974
2023-09-27,20854
2023-09-28,20830
2023-10-09,20833
2023-10-10,20835
2023-10-11,20836
2023-10-12,20898
2023-10-13,21022
2023-10-16,21323
2023-10-17,21324
2023-10-18,21386
2023-10-19,21386
2023-10-20,21263
2023-10-23,21079
2023-10-24,20957
2023-10-25,20834
2023-10-26,20711
2023-10-27,20588
2023-10-30,20465
2023-10-31,20343
2023-11-01,20220
2023-11-02,20091
2023-11-03,19906
2023-11-06,19726
2023-11-07,19542
2023-11-08,19296
2023-11-09,19112
2023-11-10,18865
2023-11-13,18743
2023-11-14,18496
2023-11-15,18315
2023-11-16,18199
2023-11-17,18136
2023-11-20,18104
2023-11-21,17846
2023-11-22,17636
2023-11-23,17336
2023-11-24,17164
2023-11-27,16851
2023-11-28,16609
2023-11-29,16446
2023-11-30,16324
2023-12-01,16180
2023-12-04,15952
2023-12-05,15677
2023-12-06,15239
2023-12-07,14982
2023-12-08,14744
2023-12-11,14301
2023-12-12,13926
2023-12-13,13562
2023-12-14,13258
2023-12-15,13033
2023-12-18,12850
2023-12-19,12717
2023-12-20,12595
2023-12-21,12462
2023-12-22,12410
2023-12-25,12338
2023-12-26,12283
2023-12-27,12090
2023-12-28,12095
2023-12-29,12107
2024-01-02,12117
2024-01-03,12077
2024-01-04,12078
2024-01-05,12023
2024-01-08,12002
2024-01-09,11964
2024-01-10,11956
2024-01-11,11951
2024-01-12,11982
2024-01-15,11976
2024-01-16,12005
2024-01-17,12000
2024-01-18,11999
2024-01-19,12000
2024-01-22,12010
2024-01-23,12008
2024-01-24,12019
2024-01-25,12020
2024-01-26,12015
2024-01-29,12043
2024-01-30,12050
2024-01-31,12052
2024-02-01,12088
2024-02-02,12095
2024-02-05,12085
2024-02-06,12083
2024-02-07,12088
2024-02-08,12086
2024-02-19,12072
2024-02-20,12048
2024-02-21,11979
2024-02-22,11981
2024-02-23,11986
2024-02-26,12033
2024-02-27,12093
2024-02-28,12202
2024-02-29,12396
2024-03-01,12765
2024-03-04,13208
2024-03-05,13394
2024-03-06,13396
2024-03-07,13523
2024-03-08,13578
2024-03-11,13623
2024-03-12,13718
2024-03-13,13849
2024-03-14,13996
2024-03-15,13996
2024-03-18,14040
2024-03-19,14031
2024-03-20,14035
2024-03-21,14040
2024-03-22,14028
2024-03-25,14017
2024-03-26,13784
2024-03-27,13690
2024-03-28,13689
2024-03-29,13689
2024-04-01,13691
2024-04-02,13812
2024-04-03,13851
2024-04-08,13952
2024-04-09,13969
2024-04-10,14124
2024-04-11,14122
2024-04-12,14060
2024-04-15,14058
2024-04-16,13892
2024-04-17,13893
2024-04-18,13894
2024-04-19,13876
2024-04-22,13877
2024-04-23,13855
2024-04-24,13857
2024-04-25,13917
2024-04-26,13855
2024-04-29,13854
2024-04-30,13916
2024-05-06,13930
2024-05-07,13941
2024-05-08,13938
2024-05-09,13892
